15.26,14.84,0.871,5763,3312,2221,5.22,1
13.74,14.05,0.8744,5482,3114,2932.0,4825,1
13.78,14.06,0.8759,5479,3156,3136.0,4872,1
13.89,14.02,0.888,5439,3199,3986.0,4738,1
14.03,14.16,0.8796,5438,3201,1717.0,5001,1
15.26,14.85,0.8696,5714,3242,4543.0,5314,1
14.38,14.21,0.8951,5386,3312,2462.0,4956,1
14.88,14.57,0.8811,5554,3333,1018.0,4956,1
14.29,14.09,0.905,5291,3337,2699.0,4825,1
13.84,13.94,0.8955,5324,3379,2259.0,4805,1
16.63,15.46,0.8747,6053,3465,2.04,5877,1
16.44,15.25,0.888,5884,3505,1969.0,5533,1
16.14,14.99,0.9034,5658,3562,1355.0,5175,1
